"file","query","rel","docno"
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA1","unjudged",15
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA1","yes",5
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA2","no",2
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA2","unjudged",17
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA2","yes",1
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA3","unjudged",20
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA4","no",1
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA4","unjudged",13
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA4","yes",6
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA5","unjudged",13
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA5","yes",7
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA6","no",2
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA6","unjudged",15
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.0.out","EA6","yes",3
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA1","unjudged",15
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA1","yes",5
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA2","no",5
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA2","unjudged",11
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA2","yes",4
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA3","unjudged",20
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA4","no",1
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA4","unjudged",13
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA4","yes",6
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA5","unjudged",9
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA5","yes",11
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA6","no",2
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA6","unjudged",14
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.1.out","EA6","yes",4
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA1","unjudged",15
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA1","yes",5
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA2","no",5
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA2","unjudged",11
"./output/okapi/train/short/k1=1.0:k3=1.0:b=0.2.out","EA2","yes",4
